SECTOR;MES;TITULO;NARRATIVA;OPCION_A_TXT;OPCION_A_LOGIC;OPCION_B_TXT;OPCION_B_LOGIC;OPCION_C_TXT;OPCION_C_LOGIC;OPCION_D_TXT;OPCION_D_LOGIC
TECH;1;La Imperfección del Lanzamiento;"Es el Día D. Lleváis 6 meses quemando caja. El backend es sólido, pero la experiencia de usuario (UX) en móviles tiene fallos visuales evidentes que pueden frustrar a los primeros usuarios. Tu competencia directa lanza su beta en 48 horas. Si esperas a arreglarlo, pierdes el ""First Mover Advantage"". Si lanzas, arriesgas tu reputación inicial.";Lanzo hoy mismo asumiendo el riesgo. La velocidad es vital en Tech. Pondré a todo el equipo a hacer soporte técnico 24/7 para compensar los fallos manualmente mientras parcheamos.;risk_propensity 25 | achievement 20 | diligence 5 | emotional_stability 5;Retraso el lanzamiento 3 semanas. Solo hay una oportunidad para causar una primera impresión. Prefiero llegar segundo con un producto excelente que primero con uno roto.;diligent 25 | cautious 20 | achievement -5 | perfectionism 15;"Lanzo una ""Beta Privada"" solo por invitación a 50 usuarios de confianza. Valido la tecnología sin exponer la marca al gran público, aunque cedo terreno mediático a la competencia.";cautious 20 | risk_propensity -5 | innovativeness 10 | strategy 15;Lanzo solo la versión de escritorio (que funciona bien) y elimino la opción móvil temporalmente, aunque eso signifique ignorar al 60% del tráfico actual.;pragmatism 20 | focus 15 | risk_propensity 5 | market_share -10
TECH;2;Dinero Tóxico vs Libertad;Queda caja para 1 mes (Runway crítico). Un Fondo de Inversión (VC) ofrece 500.000€, lo que os salvaría, pero sus condiciones son leoninas: quieren el 40% de la empresa, veto en decisiones estratégicas y sugieren reemplazar a tu co-founder técnico. La alternativa es cerrar o mendigar micro-créditos.;Firmo el acuerdo. El dinero es oxígeno y sin él morimos hoy. Ya pelearé por recuperar el control político de la empresa cuando tengamos tracción y métricas.;risk_propensity 20 | pragmatism 25 | autonomy -15 | survival 20;"Rechazo la oferta. Esa valoración es un insulto y no voy a traicionar a mi socio. Prefiero reducir la empresa al mínimo y sobrevivir con ""Ramen Profitability"".";autonomy 25 | loyalty 20 | risk_propensity 5 | ambition -10;Negocio agresivamente: Acepto su valoración y el veto, pero blindo a mi equipo fundador por contrato durante 2 años. Cedo control económico a cambio de estabilidad humana.;negotiation 25 | emotional_stability 15 | team_focus 20 | power -5;Busco financiación alternativa desesperada (Friends & Family, préstamos personales). Pongo mi patrimonio personal en riesgo antes que vender mi alma al fondo.;risk_propensity 25 | self_efficacy 20 | independence 15 | financial_risk 20
TECH;3;La Tiranía del Dato;"Lleváis meses construyendo una plataforma para conectar paseadores de perros (idea original). Las métricas son terribles: nadie paga. Sin embargo, observas que los usuarios están usando el chat interno de la App para ligar entre ellos. Tu equipo de desarrolladores ama la idea original y odiaría pivotar a una ""App de citas"".";Pivoto radicalmente a App de citas HOY. Los datos mandan y el mercado nunca se equivoca. Si el equipo no lo entiende, tendré que renovar la plantilla.;innovativeness 25 | adaptability 20 | empathy -10 | achievement 15;Sigo con la idea original de los perros. El mercado es lento y hay que educarlo. Invierto lo que queda de marketing en explicar mejor nuestra propuesta de valor.;perseverance 20 | stubbornness 15 | risk_propensity -5 | vision 10;Mantengo los dos productos en paralelo. Uso la funcionalidad de citas para atraer tráfico y trato de reconvertirlos al negocio de paseadores. No quiero cerrar puertas.;cautious 15 | focus -15 | creativity 20 | fear 5;Vendo la tecnología desarrollada a una empresa de mascotas establecida y uso ese capital para empezar otro proyecto diferente desde cero. Salida digna.;mercenary 20 | detachment 25 | emotional_stability 10 | achievement 5
TECH;4;El Genio Destructivo;"Tu CTO (Director Técnico) es un genio absoluto, el mejor programador que has visto. Pero su actitud es tóxica: humilla a los juniors, no documenta nada y crea mal ambiente. Hoy, el Lead Developer te ha dado un ultimátum: ""O se va él, o nos vamos nosotros tres"". Sin el CTO, el producto podría caerse mañana.";Despido al CTO inmediatamente. La cultura es lo único que no se puede arreglar con código. Asumo el caos técnico temporal para salvar el equipo.;emotional_stability 20 | leadership 25 | risk_propensity 15 | culture 20;"Mantengo al CTO pero lo aíslo. Le creo un puesto de ""Chief Architect"" sin gente a su cargo, trabajando solo desde casa. Retengo su cerebro pero protejo al equipo.";diplomacy 20 | pragmatism 20 | conflict_avoidance 15 | innovation 5;Intento mediar una última vez. Contrato un coach ejecutivo para el CTO y le doy 30 días de prueba. Perder su talento técnico sería un suicidio ahora mismo.;optimism 20 | patience 15 | risk_propensity -5 | dependence 15;"Me pongo del lado del CTO. En una startup de alto rendimiento necesitamos ""Navy Seals"", no gente que se ofenda fácil. Dejo que se vayan los juniors.";achievement 25 | ruthlessness 20 | empathy -20 | elitism 15
TECH;5;La Ética del Crecimiento;"El crecimiento de usuarios se ha estancado. Tu Head of Growth ha desarrollado un ""bot"" que extrae emails de LinkedIn masivamente y los inscribe en vuestra newsletter sin permiso. Es ilegal (GDPR), pero las pruebas dicen que duplicaría vuestra base de usuarios en un mes. Los inversores piden crecimiento ya.";Doy luz verde al bot. En la guerra y en las startups, la velocidad justifica los medios. Ya pediremos perdón o pagaremos la multa cuando seamos gigantes.;mischievous 25 | risk_propensity 25 | ethics -15 | ambition 20;Lo prohíbo terminantemente. La reputación de la marca es sagrada y no quiero construir un unicornio sobre cimientos de spam. Creceremos lento pero legal.;integrity 25 | diligent 20 | risk_propensity -10 | patience 15;"Busco un punto medio ""gris"". Usamos los datos para hacer campañas de retargeting en redes sociales (menos intrusivo) en lugar de spam directo al email.";astute 20 | creativity 15 | risk_propensity 5 | negotiation 5;"Subcontrato a una agencia externa que ""garantiza leads"" sin preguntar cómo lo hacen. Si hay problemas legales, la culpa será suya, no nuestra.";machiavellian 25 | risk_avoidance 15 | responsibility -10 | cunning 20
TECH;6;Colapso en Black Friday;Es Black Friday. El tráfico se dispara x10. La base de datos colapsa y la web se cae. Estás perdiendo 1.000€ por minuto. Twitter arde con clientes furiosos. Tu equipo técnico está en pánico, bloqueado y mirándote con terror. No tienes solución técnica inmediata.;Tomo el mando autocrático. Entro en la sala de servidores (o Zoom), asigno tareas cortas y precisas a gritos si es necesario para desbloquear la parálisis. Acción pura.;leadership 25 | assertiveness 20 | emotional_stability 5 | action 15;Mantengo la calma zen. Les traigo comida, les digo que respiren y que prioricen recuperar solo el proceso de pago, ignorando el resto. Transmito seguridad.;emotional_stability 25 | support 20 | self_efficacy 15 | resilience 15;Salgo a dar la cara públicamente. Grabo un video sincero explicando que hemos muerto de éxito y ofreciendo descuentos futuros. Gano tiempo con transparencia.;communication 25 | honesty 20 | image 15 | risk_propensity 5;Llamo de urgencia a una consultora de sistemas de élite para que nos rescaten, pagando una tarifa de urgencia desorbitada. Reconozco que esto nos supera.;humility 20 | delegation 15 | resourcefulness 15 | cost 10
TECH;7;La Oferta de Compra (Exit);"Google (o un gigante similar) te llama. Ofrecen 10 Millones de euros por tu startup. Te quedarían 4M€ limpios a ti. Es la libertad financiera de por vida. Pero sabes que su intención es cerrar tu producto y quedarse solo con los ingenieros (""Acqui-hire""). Tu sueño de cambiar el mundo muere si vendes.";Vendo. La estadística dice que el 90% de startups fracasan. Aseguro mi futuro y el de mi familia. Con 4M€ podré fundar otra cosa después con calma.;security 25 | realism 20 | ambition -5 | pragmatism 20;Rechazo la oferta. Valemos mucho más y tengo una misión que cumplir. No he llegado hasta aquí para ser un empleado de Google. Vamos a por los 100M€.;ambition 25 | risk_propensity 25 | tenacity 20 | idealism 15;"Intento negociar una venta parcial o una cláusula de permanencia del producto, sabiendo que eso podría hacer que retiren la oferta por ser ""problemático"".";negotiation 20 | attachment 15 | risk_propensity 5 | hope 5;Pido el doble (20M€) para poner a prueba su interés. Si pagan esa locura, vendo. Si no, sigo. Juego al póker con mi futuro.;gambler 25 | strategy 15 | emotional_stability 15 | greed 15
TECH;8;Deuda Técnica vs Venta;"Para cerrar un contrato vital con una multinacional, exigen una funcionalidad compleja para la semana que viene. Tu equipo dice que es imposible hacerla bien: habría que hacer una ""chapuza"" (hardcode) que desestabilizará todo el sistema en 3 meses. Si no aceptas, pierdes el contrato y el bonus anual.";Ordeno hacer la chapuza. La prioridad es cerrar la venta y asegurar la caja. Ya nos preocuparemos de arreglar el código (refactorizar) el trimestre que viene.;short_term 25 | achievement 20 | risk_propensity 15 | diligence -15;Rechazo la exigencia. La integridad del producto es lo primero. Si el cliente no puede esperar a que se desarrolle bien, no es el cliente adecuado.;long_term 25 | diligence 20 | assertiveness 15 | sales_loss 10;"Vendo la funcionalidad como un ""desarrollo a medida"" aparte, cobrando 5 veces más para contratar a un equipo externo que lo haga sin tocar nuestro núcleo.";business_acumen 25 | innovativeness 15 | flexibility 15 | delegation 5;Prometo que estará lista (mintiendo) para firmar el contrato, y luego pongo excusas técnicas para retrasar la entrega mientras lo desarrollamos bien.;mischievous 25 | deceit 20 | risk_propensity 15 | persuasion 10
TECH;9;El Gigante te Copia;Te despiertas con la noticia: Amazon acaba de lanzar un producto idéntico al tuyo. Es gratis y está integrado en su ecosistema Prime. Tus inversores te llaman en pánico preguntando qué vas a hacer. Tu producto cuesta 10€/mes.;Pivoto a un nicho ultra-específico donde Amazon no pueda entrar por ser demasiado generalista. Nos convertimos en la herramienta para expertos, no para masas.;adaptability 25 | strategy 20 | innovativeness 15 | resilience 15;Mantengo el rumbo. Nuestra ventaja es la atención al cliente y la comunidad, cosas que Amazon no tiene. Ignoro el ruido y sigo ejecutando el plan.;self_efficacy 25 | focus 20 | emotional_stability 15 | stubbornness 5;"Inicio una campaña de PR agresiva: ""David contra Goliat"". Denuncio sus prácticas monopólicas y apelo a la ética de los usuarios para que nos apoyen.";fighting_spirit 25 | communication 20 | external_locus 5 | risk_propensity 15;Busco fusionarme con otro competidor mediano. Solos no podemos sobrevivir, pero juntos quizás tengamos volumen suficiente para resistir.;collaboration 25 | pragmatism 20 | independence -10 | survival 15
TECH;10;La Mentira Piadosa;Tienes que enviar el reporte mensual a los inversores. Las métricas clave (retención) han caído, pero los registros han subido por una campaña de pago. Si muestras la retención real, podrían congelar la siguiente ronda de financiación que necesitas para pagar nóminas.;"Maquillo el informe. Destaco los registros en verde gigante y omito/escondo la gráfica de retención en un anexo confuso. ""Fake it till you make it"".";mischievous 25 | risk_propensity 20 | transparency -25 | survival 15;Envío los datos reales con un análisis brutalmente honesto de por qué fallamos y un plan de acción detallado para corregirlo en 30 días.;integrity 25 | responsibility 20 | courage 15 | diligence 15;Cambio la forma de calcular la métrica (de retención diaria a mensual) para que el gráfico parezca positivo sin mentir técnicamente.;astute 20 | rationalization 15 | creativity 15 | ethics -5;"Retraso el envío del informe con excusas técnicas (""problemas con la migración de datos"") esperando tener mejores números la semana que viene.";procrastination 20 | fear 15 | hope 5 | avoidance 15
